sale_id,customer_id,product_id,sale_date,quantity
1,502,22,2023-11-24,5
2,403,20,2023-07-11,5
3,763,5,2023-01-24,3
4,161,41,2023-02-09,2
5,19,41,2024-04-18,5
6,356,7,2022-12-20,5
7,701,2,2024-03-02,1
8,361,31,2024-04-03,1
9,364,28,2022-05-30,4
10,641,2,2022-10-25,1
11,310,38,2022-02-13,3
12,242,41,2022-10-22,3
13,514,22,2024-01-02,5
14,283,17,2022-03-22,1
15,832,16,2022-12-21,1
16,64,7,2023-03-29,5
17,641,31,2023-11-03,2
18,264,16,2022-09-20,3
19,900,22,2024-02-05,5
20,397,4,2023-05-06,2
21,912,22,2022-08-08,2
22,835,34,2022-07-26,5
23,31,16,2024-04-27,4
24,967,5,2023-07-06,2
25,569,50,2022-10-05,3
26,972,39,2023-07-30,2
27,287,40,2023-12-14,3
28,231,29,2022-10-06,3
29,156,49,2022-05-21,4
30,350,7,2022-04-22,2
31,919,41,2023-09-23,5
32,403,29,2024-01-29,2
33,673,38,2023-08-24,1
34,141,8,2022-09-03,1
35,90,6,2022-09-06,1
36,748,4,2022-02-21,5
37,392,3,2023-11-17,1
38,534,25,2023-06-28,5
39,984,21,2022-08-20,4
40,695,45,2023-10-16,4
41,628,5,2022-08-27,1
42,894,9,2022-02-23,2
43,641,4,2022-04-13,3
44,703,29,2023-02-28,3
45,233,4,2022-12-05,1
46,428,20,2024-01-05,2
47,247,40,2023-04-29,2
48,587,41,2022-04-13,1
49,157,28,2023-11-29,3
50,437,5,2024-02-29,1
51,994,7,2022-05-21,4
52,320,44,2022-01-06,4
53,932,4,2023-07-18,2
54,620,36,2022-06-11,3
55,338,4,2023-02-21,1
56,460,19,2023-10-31,1
57,556,25,2023-05-03,1
58,135,26,2023-05-04,5
59,212,7,2023-10-29,4
60,669,40,2022-07-24,1
61,142,49,2024-02-14,1
62,595,27,2022-10-22,5
63,555,15,2022-11-25,5
64,701,39,2022-10-20,2
65,820,43,2023-10-24,1
66,208,40,2022-03-02,5
67,884,1,2024-02-27,4
